Nom_commune;Coordonnees_gps;Departement 
HUMBERCOURT;50.2095577293, 2.45741568724;SOMME
PERRUSSON;47.0926524002, 1.00808800981;INDRE ET LOIR
MICHELBACH LE HAUT;47.5627694258, 7.43780573745;HAUT RHIN
THIZY;47.58183768, 4.05915393328;YONNE
CHARMES LA GRANDE;48.3839955278, 4.99607090848;HAUTE MARNE
SAVASSE;44.6067336832, 4.77822199887;DROME
GATTIERES;43.7652195423, 7.16877468184;ALPES MARITIMES
WOERTH;48.9412737008, 7.74416394777;BAS RHIN
ST MEDARD SUR ILLE;48.2728481526, -1.67038135479;ILE ET VILAINE
VOELFLING LES BOUZONVILLE;49.2929378044, 6.60527377943;MOSELLE
NERONDE SUR DORE;45.7989836343, 3.5070472328;PUY DE DOME
MEYENHEIM;47.915595397, 7.37703268493;HAUT RHIN
HAUDAINVILLE;49.1247629986, 5.42686617859;MEUSE
IZESTE;43.0842981048, -0.44404003206;PYRENEES ATLANTIQUES
ALES;44.1250099126, 4.08828501262;GARD
ST ANDRE DE BOEGE;46.1932380604, 6.3815476772;HAUTE SAVOIE
AUTET;47.545285848, 5.70067460474;HAUTE SAONE
SALEILLES;42.6568410057, 2.94920487175;PYRENEES ORIENTALES
LAMBREY;47.7643209211, 5.92933904198;HAUTE SAONE
TOURNON;45.637794827, 6.32739261169;SAVOIE
LA CHAPELLE;45.4217303227, 6.29384300807;SAVOIE
CHASSAL;46.3600964475, 5.7849059894;JURA
LINZEUX;50.3424338699, 2.20289720787;PAS DE CALAIS
ST PAUL D OUEIL;42.8382523889, 0.555644090408;HAUTE GARONNE
LE BOIS ROBERT;49.8380335572, 1.14914842733;SEINE MARITIME
NERY;49.271310066, 2.77130714289;OISE
CONAND;45.8834810846, 5.47541328981;AIN
ST ETIENNE A ARNES;49.3075159297, 4.51140608204;ARDENNES
CHAPET;48.9681465305, 1.9401229913;YVELINES
GUESSLING HEMERING;49.0221937323, 6.66814664402;MOSELLE
CALLAC;48.4223048141, -3.41625904984;COTES D ARMOR
ROUVROIS SUR OTHAIN;49.3871461165, 5.62761373552;MEUSE
SERMERSHEIM;48.3443357629, 7.55277785563;BAS RHIN
CHIGNIN;45.5235808519, 6.0136049327;SAVOIE
LACAPELLE VIESCAMP;44.9257153749, 2.27440087718;CANTAL
LINIEZ;47.0142256884, 1.75629782161;INDRE
DOMNOM LES DIEUZE;48.8611192156, 6.82405240882;MOSELLE
CORCELLES FERRIERES;47.2266648284, 5.80424536213;DOUBS
CESTAS;44.7237410966, -0.726825410115;GIRONDE
ST CHRISTO EN JAREZ;45.5362867258, 4.4671653165;LOIRE
BOEURS EN OTHE;48.1398712988, 3.70632804509;YONNE
IGNY;48.7362250613, 2.22442021749;ESSONNE
CARREPUIS;49.7045602877, 2.81927389833;SOMME
RAMBOUILLET;48.6539051954, 1.82652871851;YVELINES
TREHET;47.7421836538, 0.633907374107;LOIR ET CHER
COLOMBIER;47.6697895456, 6.21883495528;HAUTE SAONE
MOISSAC VALLEE FRANCAISE;44.157860146, 3.79127521457;LOZERE
ST JULIEN DES CHAZES;45.0480264349, 3.57559827157;HAUTE LOIRE
JUGY;46.6044707808, 4.86148307035;SAONE ET LOIRE
SOUSSAC;44.7356053144, 0.0112731568221;GIRONDE
LE BOUCHAGE;46.0493103798, 0.376687406962;CHARENTE
GEMBRIE;42.9886064144, 0.57539500217;HAUTES PYRENEES
VILLATE;43.46763006, 1.38192246692;HAUTE GARONNE
ST AUBIN SUR MER;49.3224328819, -0.39282763592;CALVADOS
DOIZIEUX;45.4182832028, 4.58919336955;LOIRE
ST JULIEN SUR REYSSOUZE;46.3997655501, 5.10354296019;AIN
TREMENTINES;47.1227107975, -0.801475622875;MAINE ET LOIRE
JOIGNY;48.0088550804, 3.40980180815;YONNE
SCEAUX DU GATINAIS;48.1208120916, 2.59052971179;LOIRET
ETEIGNIERES;49.8907338972, 4.40306549202;ARDENNES
BOLOZON;46.1960338503, 5.47095075411;AIN
VAUGRIGNEUSE;48.6013342807, 2.10541488357;ESSONNE
CAORCHES ST NICOLAS;49.0782233141, 0.547592654037;EURE
VILLENTROIS;47.1877948714, 1.45972969397;INDRE
STEINBOURG;48.7639649052, 7.41351196572;BAS RHIN
BELLEGARDE EN MARCHE;45.9815413082, 2.29291200261;CREUSE
VARENNES SUR AMANCE;47.8958656756, 5.61137460007;HAUTE MARNE
GRENADE;43.7640507757, 1.28038974975;HAUTE GARONNE
RANCOGNE;45.7024273965, 0.394415078695;CHARENTE
ST CYR DES GATS;46.572397925, -0.86344873853;VENDEE
MOUTHIER HAUTE PIERRE;47.033913371, 6.27516743858;DOUBS
SURZUR;47.5691616224, -2.62727408049;MORBIHAN
PONT D OUILLY;48.8768624805, -0.409034326859;CALVADOS
MORET LOING ET ORVANNE;48.365092921, 2.81172585849;SEINE ET MARNE
BARLES;44.2730280199, 6.25325743878;ALPES DE HAUTE PROVENCE
GERMONDANS;47.4138937472, 6.20033950857;DOUBS
ST LAURENT LOLMIE;44.2872527124, 1.2312861209;LOT
GIMBREDE;44.0374266467, 0.719582060936;GERS
SOULAC SUR MER;45.493296382, -1.10918123147;GIRONDE
MORIVILLE;48.3473450165, 6.41821065495;VOSGES
ST SYLVAIN;49.0531521208, -0.215598170882;CALVADOS
VADONVILLE;48.7985029531, 5.5144264856;MEUSE
ARVILLARD;45.4097930929, 6.16998092383;SAVOIE
PHAFFANS;47.6585204866, 6.94418106146;TERRITOIRE DE BELFORT
LA GRESLE;46.0720149444, 4.2760425142;LOIRE
ENSISHEIM;47.8530628657, 7.37246514573;HAUT RHIN
NOSSAGE ET BENEVENT;44.3097205577, 5.75452221708;HAUTES ALPES
FERNEY VOLTAIRE;46.2519789243, 6.10826403805;AIN
PIN BALMA;43.6223426383, 1.53573594468;HAUTE GARONNE
HOUDAIN;50.4548178375, 2.53664303679;PAS DE CALAIS
BIRON;43.4626761667, -0.741219830743;PYRENEES ATLANTIQUES
BATS;43.6533852455, -0.463880939052;LANDES
CASTELVIEILH;43.281097408, 0.201372876533;HAUTES PYRENEES
LABASTIDE CASTEL AMOUROUX;44.3463957829, 0.127187947229;LOT ET GARONNE
MONTGOBERT;49.289626635, 3.17404129063;AISNE
DOMPIERRE SUR CHALARONNE;46.1415406621, 4.90141714714;AIN
EYJEAUX;45.7748713426, 1.37728404596;HAUTE VIENNE
BELAN SUR OURCE;47.9515958894, 4.63862833374;COTE D OR
MAS DES COURS;43.1316087577, 2.42671683067;AUDE
RESENLIEU;48.7900887821, 0.276930426076;ORNE
ST MALO DE BEIGNON;47.9565800203, -2.14364557766;MORBIHAN
ST SORLIN DE VIENNE;45.4732844152, 4.93813857629;ISERE
ANCEAUMEVILLE;49.5695149287, 1.06535432644;SEINE MARITIME
BELVAL BOIS DES DAMES;49.4815181071, 5.04412784142;ARDENNES
BUBRY;47.969363201, -3.17594645997;MORBIHAN
AURICE;43.8029933289, -0.598930696866;LANDES
ATTIGNAT;46.2861802203, 5.1795233845;AIN
COURSEULLES SUR MER;49.3205636426, -0.44837253643;CALVADOS
GILOCOURT;49.3007930979, 2.89026457858;OISE
ARETTE;43.0398698092, -0.735693683266;PYRENEES ATLANTIQUES
CASTELLA;44.3138960011, 0.684442218715;LOT ET GARONNE
ROTHERENS;45.472199256, 6.13731657303;SAVOIE
VEXIN SUR EPTE;49.1515466021, 1.59773112902;EURE
DOMPTIN;49.0156995656, 3.27296497779;AISNE
MONTAUTOUR;48.2045052863, -1.12123859813;ILE ET VILAINE
BONNEVILLE SUR TOUQUES;49.3299368884, 0.119217690355;CALVADOS
HARDIFORT;50.8187124794, 2.48138038993;NORD
ST JULIEN DU PUY;43.751631087, 2.08059603326;TARN
COULMIER LE SEC;47.7550385883, 4.49604694384;COTE D OR
REDORTIERS;44.0981211073, 5.61414591507;ALPES DE HAUTE PROVENCE
ST QUENTIN SUR LE HOMME;48.6452249464, -1.30041468589;MANCHE
LABARTHE RIVIERE;43.0809091883, 0.671429953556;HAUTE GARONNE
BRANDONNET;44.3823756053, 2.1374677844;AVEYRON
STE ORSE;45.2054528162, 1.07317374722;DORDOGNE
CHAMBEON;45.6971949141, 4.17325766885;LOIRE
ST BOUIZE;47.2707643696, 2.89210091282;CHER
MAILLY LE CHATEAU;47.5825000596, 3.59908687076;YONNE
IDAUX MENDY;43.1737848926, -0.922656463962;PYRENEES ATLANTIQUES
TREBAS;43.9548189483, 2.48899274991;TARN
SIEVOZ;44.9050907619, 5.85034623903;ISERE
MAULEVRIER;47.0185766256, -0.768134737511;MAINE ET LOIRE
CROTTET;46.283072336, 4.87747971182;AIN
STE RADEGONDE;44.8030043488, 0.0238709656269;GIRONDE
THILLOMBOIS;48.955498451, 5.38479221078;MEUSE
COUIZA;42.9352199297, 2.27047605296;AUDE
PESSAC SUR DORDOGNE;44.8179368546, 0.0937252585904;GIRONDE
BAILLEUL SUR THERAIN;49.385157591, 2.23033347435;OISE
FREULLEVILLE;49.8188117486, 1.21669243102;SEINE MARITIME
SALON DE PROVENCE;43.6462885238, 5.06814649576;BOUCHES DU RHONE
RANNEE;47.9006592126, -1.22652975633;ILE ET VILAINE
BERRY AU BAC;49.4084985083, 3.8985497785;AISNE
ROSET FLUANS;47.1536312565, 5.83267592874;DOUBS
LA NOUAILLE;45.8393812197, 2.06990945927;CREUSE
BEAUMAIS;48.8992282698, -0.0710822591803;CALVADOS
MONTBLAINVILLE;49.2434560123, 4.9948188695;MEUSE
LA VALLEE AU BLE;49.8571725081, 3.794382858;AISNE
EXIREUIL;46.4537143363, -0.177315480712;DEUX SEVRES
MOSNAC;45.5027021197, -0.541750931671;CHARENTE MARITIME
SOULTZ HAUT RHIN;47.8827772059, 7.17897878271;HAUT RHIN
VIRA;42.7632437549, 2.39447328597;PYRENEES ORIENTALES
ST LEGER AUX BOIS;49.8298026254, 1.61197494699;SEINE MARITIME
ST AMAND;49.0444946813, -0.948478098898;MANCHE
GOUTEVERNISSE;43.2140263014, 1.17376592029;HAUTE GARONNE
VIC DES PRES;47.1093098641, 4.63600568257;COTE D OR
ST LEON;44.2871805336, 0.239913996126;LOT ET GARONNE
NITTING;48.6617122731, 7.0490425095;MOSELLE
GRAND VERLY;49.9434199886, 3.58138282505;AISNE
ESCAMPS;47.7177692748, 3.47307676969;YONNE
PACT;45.3540175741, 4.98747435997;ISERE
LES VIGNES;44.268883271, 3.25062860598;LOZERE
MONT ST MARTIN;49.3314585967, 4.64133268542;ARDENNES
LAPENCHE;44.223694472, 1.5730652063;TARN ET GARONNE
ST AUBIN DE CADELECH;44.6857557345, 0.492017178221;DORDOGNE
ESQUAY SUR SEULLES;49.2716519336, -0.622418899697;CALVADOS
VILLEVAUDE;48.9117801079, 2.66224807334;SEINE ET MARNE
VILLEDIEU LE CHATEAU;47.7145584824, 0.640231512213;LOIR ET CHER
PURE;49.6818291341, 5.18018679003;ARDENNES
ST AUBIN SUR QUILLEBEUF;49.4493583444, 0.52491272728;EURE
AUBIGNY EN PLAINE;47.1277492064, 5.16492120772;COTE D OR
ST CLEMENT;44.9753617677, 2.6760260238;CANTAL
CIER DE LUCHON;42.8554210387, 0.587203790496;HAUTE GARONNE
CHAMBERET;45.6025012498, 1.71951080332;CORREZE
ST CERNIN DE L HERM;44.6540649921, 1.04585610677;DORDOGNE
FONTENAY;47.0542552682, 1.74236009323;INDRE
LE CHATELIER;48.9369936984, 4.92578569834;MARNE
LA NEUVILLE AUX BOIS;48.9677556904, 4.89351823597;MARNE
PUITS LA VALLEE;49.5836339442, 2.19003543051;OISE
PAILHES;43.4371324494, 3.18478770413;HERAULT
PUYLAGARDE;44.3066142311, 1.84631007866;TARN ET GARONNE
MINZAC;44.9616610497, 0.0299559568134;DORDOGNE
ELENCOURT;49.6931893721, 1.89535227719;OISE
REJAUMONT;43.164905946, 0.452687259013;HAUTES PYRENEES
PAGNOZ;46.9741968646, 5.82590898779;JURA
SOURRIBES;44.1588664818, 6.04430204786;ALPES DE HAUTE PROVENCE
ORLU;42.6581771284, 1.93694023792;ARIEGE
MALAINCOURT;48.2246104086, 5.76671107877;VOSGES
GRANS;43.6142225937, 5.04474558898;BOUCHES DU RHONE
CHIRAT L EGLISE;46.2460009301, 3.03251610569;ALLIER
IRAI;48.6742050739, 0.689209561635;ORNE
SILLARS;46.4209799569, 0.786727577235;VIENNE
PLAISIR;48.8126082296, 1.94698515715;YVELINES
CHATEL DE JOUX;46.5296472131, 5.80925298746;JURA
CABASSE;43.4270972655, 6.23202349485;VAR
MOURVILLES BASSES;43.4889625635, 1.69918635087;HAUTE GARONNE
DEMANGE AUX EAUX;48.5915243717, 5.47266149936;MEUSE
AGME;44.4893814272, 0.340441106525;LOT ET GARONNE
COULOUTRE;47.3950173245, 3.22048548212;NIEVRE
BIDOS;43.1751507938, -0.604844854778;PYRENEES ATLANTIQUES
VILLOTRAN;49.3451558969, 2.01028324287;OISE
MAREST SUR MATZ;49.5033268018, 2.82457764723;OISE
PIRE SUR SEICHE;48.0111877546, -1.42837195377;ILE ET VILAINE
LE PIN;48.9144329004, 2.62838554691;SEINE ET MARNE
LOUBERS;44.0377793598, 1.8934533217;TARN
GARCHIZY;47.0432163647, 3.09375234427;NIEVRE
PARIGNY;45.9876941251, 4.09212986006;LOIRE
SOLEYMIEUX;45.5062879483, 4.06396167678;LOIRE
LACAVE;43.0470411913, 1.01294653058;ARIEGE
ONJON;48.3987860925, 4.27579822531;AUBE
ST PIERRE LAVIS;49.6643345859, 0.623128334063;SEINE MARITIME
ANGLARS ST FELIX;44.41616534, 2.2384963959;AVEYRON
COURMANGOUX;46.3267864521, 5.35558241812;AIN
LE PIN MURELET;43.3973997258, 1.02131338284;HAUTE GARONNE
QUINCAMPOIX;49.5206144276, 1.17779386986;SEINE MARITIME
LA VALLEE MULATRE;50.0255708699, 3.56063329937;AISNE
WITTERSDORF;47.6161807189, 7.27312864168;HAUT RHIN
VILLEROY SUR MEHOLLE;48.616315357, 5.57205116516;MEUSE
CUEBRIS;43.8892125828, 7.00448794285;ALPES MARITIMES
MIZOEN;45.0437665644, 6.1821306394;ISERE
LOUVIGNE;48.0547197919, -0.634640720339;MAYENNE
CHOUZE SUR LOIRE;47.2459736126, 0.109159987827;INDRE ET LOIR
LEYME;44.7838029634, 1.89700443992;LOT
PLAINVILLE;49.0789480792, 0.499627134702;EURE
GUEBENHOUSE;49.0769015436, 6.95086192119;MOSELLE
SAULIEU;47.2840306915, 4.23192469784;COTE D OR
JUILLES;43.6069084453, 0.82649870993;GERS
SAVIGNAC LEDRIER;45.3819993943, 1.19868234314;DORDOGNE
CHAILLY EN BIERE;48.4697661737, 2.61164875379;SEINE ET MARNE
VILLERS LE TOURNEUR;49.6220295169, 4.56406530841;ARDENNES
GAUDECHART;49.6181645312, 1.96029040389;OISE
MELLERAN;46.1300825848, 0.00534971717862;DEUX SEVRES
BALEYSSAGUES;44.6820321193, 0.149443103335;LOT ET GARONNE
VIEUX;43.9964922909, 1.86610930745;TARN
BREAU;48.5575023659, 2.87972860182;SEINE ET MARNE
ST GERMAIN SUR BRESLE;49.8268454979, 1.74609362795;SOMME
AMBILLY;46.1961567042, 6.22429975401;HAUTE SAVOIE
LA BERNARDIERE;47.0361828072, -1.27390355206;VENDEE
RIBEMONT;49.7885436581, 3.47018526049;AISNE
MORSCHWILLER;48.8194129618, 7.62944925979;BAS RHIN
BERVILLE;49.7125106385, 0.837054229311;SEINE MARITIME
CASTELNAU D AUDE;43.2334707961, 2.67749002021;AUDE
VENDHUILE;50.0120254621, 3.20888614063;AISNE
ST BENOIT SUR SEINE;48.3800523103, 4.05187885884;AUBE
FONS;43.9072744554, 4.18054520529;GARD
JULLOUVILLE;48.7634529301, -1.52729216893;MANCHE
BRIAS;50.4112336365, 2.38520158695;PAS DE CALAIS
JAULGONNE;49.0895236955, 3.53359601877;AISNE
VILLEFRANCHE LE CHATEAU;44.2152597669, 5.50831127895;DROME
BELMONT SUR RANCE;43.8248066613, 2.75112588712;AVEYRON
ST LEGER;45.6164955032, -0.569645544567;CHARENTE MARITIME
POILHES;43.3045807211, 3.08955688711;HERAULT
ELEU DIT LEAUWETTE;50.4182625415, 2.81150914933;PAS DE CALAIS
MONTALET LE BOIS;49.0489897377, 1.82996135013;YVELINES
COUR L EVEQUE;47.9767999819, 4.982031793;HAUTE MARNE
ISSANS;47.5266990034, 6.73156159928;DOUBS
BOUSIGNIES;50.4302087604, 3.35488860191;NORD
VANVES;48.8215227089, 2.28739490768;HAUTS DE SEINE
BIESLES;48.102555202, 5.28581680401;HAUTE MARNE
LE CABANIAL;43.5220437405, 1.86897842751;HAUTE GARONNE
CHASTANIER;44.722639702, 3.75305127719;LOZERE
MONDEVERT;48.0841466424, -1.09097545112;ILE ET VILAINE
CHENAC ST SEURIN D UZET;45.5140296568, -0.812247078106;CHARENTE MARITIME
CHAUX LES PORT;47.7164049737, 6.0457583117;HAUTE SAONE
MOUZAY;49.4497659783, 5.23933878643;MEUSE
BERLANCOURT;49.6785871051, 3.08371773899;OISE
AUBAZAT;45.1283416697, 3.44490053055;HAUTE LOIRE
LALLEY;44.74656983, 5.68463742085;ISERE
WIESVILLER;49.0772822429, 7.16122161095;MOSELLE
HOEVILLE;48.7165627893, 6.43301011258;MEURTHE ET MOSELLE
VALDEBLORE;44.1127596533, 7.19571891201;ALPES MARITIMES
HORVILLE EN ORNOIS;48.4878089513, 5.46806713006;MEUSE
MORGNY EN THIERACHE;49.7544947391, 4.07631392389;AISNE
ECUILLE;47.6151527391, -0.560819094743;MAINE ET LOIRE
MEHOUDIN;48.508806883, -0.381338867818;ORNE
MONTMEDY;49.5154285158, 5.37250308228;MEUSE
THEZY GLIMONT;49.8215763774, 2.43770954257;SOMME
VILLEFRANCHE DU QUEYRAN;44.3035817658, 0.212075905878;LOT ET GARONNE
FOSSES;49.1000437966, 2.49906495383;VAL D OISE
CERDON;47.6299186758, 2.38147298677;LOIRET
AUNOU SUR ORNE;48.6057819219, 0.238232234334;ORNE
SAULGOND;45.9563701497, 0.786714506522;CHARENTE
LE MESNIL JOURDAIN;49.1815334603, 1.12763185285;EURE
ST LAURENT DE CERIS;45.9432646636, 0.49869730659;CHARENTE
RIVEL;42.9209596609, 2.00316756108;AUDE
ST JEAN DE CHEVELU;45.6954877529, 5.82649490929;SAVOIE
MONTCHAUVET;48.8916704709, 1.62681497392;YVELINES
ASNIERES SUR VEGRE;47.886353314, -0.226358103893;SARTHE
RUPPES;48.4665956128, 5.77125636552;VOSGES
VERNOSC LES ANNONAY;45.2215835502, 4.72347943452;ARDECHE
SANCOURT;50.2144498638, 3.19130962776;NORD
MEIGNEUX;48.5137853479, 3.09690502787;SEINE ET MARNE
PARROY;48.6685304259, 6.60820341709;MEURTHE ET MOSELLE
ST MARTIN SUR ECAILLON;50.2401464788, 3.51737991935;NORD
YEVRES;48.1911088268, 1.1911717339;EURE ET LOIR
BELLEVAUX;46.2276019394, 6.55285416418;HAUTE SAVOIE
CASTELSAGRAT;44.1767582704, 0.960294296377;TARN ET GARONNE
ST JULIEN LES ROSIERS;44.1899717344, 4.10039832397;GARD
ANCY LE LIBRE;47.8056331303, 4.14511090809;YONNE
ST REMY DE PROVENCE;43.7834249015, 4.85366665286;BOUCHES DU RHONE
PASLIERES;45.9233858396, 3.5081870466;PUY DE DOME
ST BRANDAN;48.3903359027, -2.86345055821;COTES D ARMOR
SEMENTRON;47.6312784173, 3.36183428197;YONNE
CHATEAU SUR CHER;46.1168680835, 2.56878532043;PUY DE DOME
FILLIEVRES;50.3171424803, 2.16170089705;PAS DE CALAIS
MONLEON MAGNOAC;43.2361837361, 0.517312861957;HAUTES PYRENEES
STE MARIE DE CHIGNAC;45.1154835454, 0.825518871437;DORDOGNE
TOUSSIEU;45.6577177504, 4.98186963908;RHONE
ROQUEFIXADE;42.9332936149, 1.76440291493;ARIEGE
BRUGNENS;43.8417873872, 0.722552080652;GERS
FLINS SUR SEINE;48.9673692016, 1.87272187331;YVELINES
ALSTING;49.180492978, 7.00110743227;MOSELLE
PREMIAN;43.5395150426, 2.82265477;HERAULT
QUARANTE;43.3507961482, 2.980712669;HERAULT
ANCOURTEVILLE SUR HERICOURT;49.6907478864, 0.660651271131;SEINE MARITIME
LAVANS QUINGEY;47.0867490631, 5.89657298007;DOUBS
ST QUENTIN SUR ISERE;45.277528088, 5.54771829456;ISERE
CHAPELON;48.0368069969, 2.5779425659;LOIRET
LA MORTE;45.0261280024, 5.8619002551;ISERE
NUEIL LES AUBIERS;46.9403172404, -0.596385417876;DEUX SEVRES
COLMIER LE HAUT;47.7863345069, 4.98805196449;HAUTE MARNE
RANSPACH LE HAUT;47.5802864143, 7.42000987982;HAUT RHIN
CERBOIS;47.1109466347, 2.10554374746;CHER
ST ETIENNE DE BOULOGNE;44.7003919648, 4.47316819572;ARDECHE
ST CIRGUES;44.7359417432, 2.11647884119;LOT
WILLEMS;50.6306074254, 3.22916996988;NORD
ST CYR LES VIGNES;45.6766538011, 4.28890743405;LOIRE
JAUZE;48.2111786499, 0.382481451808;SARTHE
ROUCAMPS;48.9866203658, -0.6314276726;CALVADOS
FRAHIER ET CHATEBIER;47.6588239223, 6.75066978549;HAUTE SAONE
ATTIGNY;49.4761720465, 4.58492485149;ARDENNES
COMPS;43.848697153, 4.59238144538;GARD
NOMAIN;50.5012176112, 3.23912545125;NORD
TRUN;48.8509334132, 0.0461785983021;ORNE
VARESNES;49.5566902552, 3.07817073988;OISE
VEAUVILLE LES BAONS;49.6543611356, 0.759245923284;SEINE MARITIME
MONTOT;47.5521723024, 5.61575354895;HAUTE SAONE
MALANSAC;47.6861486744, -2.2997401984;MORBIHAN
CHARRAIS;46.6975600146, 0.200482288592;VIENNE
ROUVRAY;49.0668656108, 1.33964798484;EURE
SEVREMONT;46.8211105864, -0.854584153953;VENDEE
MAUBEC;43.8417800592, 5.13767903423;VAUCLUSE
HADANCOURT LE HAUT CLOCHER;49.1888359993, 1.85320082465;OISE
ST AMAND JARTOUDEIX;45.9176401302, 1.66886742127;CREUSE
MONNES;49.1458358775, 3.22861820737;AISNE
BALLEDENT;46.1086784953, 1.21629867254;HAUTE VIENNE
BUSSY LETTREE;48.803079986, 4.25136495939;MARNE
BALAIVES ET BUTZ;49.6725974863, 4.71841917003;ARDENNES
HAIMPS;45.8625742975, -0.25542114028;CHARENTE MARITIME
BOURSIN;50.7705251422, 1.82549104115;PAS DE CALAIS
AIZANVILLE;48.1116130217, 4.89456102722;HAUTE MARNE
VELLECHES;46.9391643097, 0.526863341682;VIENNE
PLOZEVET;47.9832115947, -4.40960157261;FINISTERE
BEZONVAUX;49.2314503054, 5.47231735633;MEUSE
ANTONNE ET TRIGONANT;45.2300537681, 0.831654901001;DORDOGNE
BRETTEVILLE LE RABET;49.0297158634, -0.258286160153;CALVADOS
AURADE;43.5585584214, 1.07381651463;GERS
AHETZE;43.4042762685, -1.57067985884;PYRENEES ATLANTIQUES
NOYELLES LES SECLIN;50.5729280386, 3.02238335303;NORD
AZELOT;48.5837575734, 6.22938782702;MEURTHE ET MOSELLE
VANVEY;47.8418840697, 4.72616973539;COTE D OR
PASSY;48.113257139, 3.29533793656;YONNE
ARTASSENX;43.8455800178, -0.395744020774;LANDES
ST LAURENT BRETAGNE;43.382550943, -0.205102257997;PYRENEES ATLANTIQUES
ST ANDRE D EMBRUN;44.5866569322, 6.57072142721;HAUTES ALPES
VAUDONCOURT;48.2205661672, 5.80563694701;VOSGES
LA FERTE CHEVRESIS;49.7409973498, 3.55129770695;AISNE
MIRAMONT SENSACQ;43.5937272264, -0.321552356121;LANDES
MEYRUEIS;44.1719020208, 3.4516638341;LOZERE
LERZY;49.9499258495, 3.88135093149;AISNE
VAUDREMONT;48.1318724255, 4.91034777098;HAUTE MARNE
CLAIRAVAUX;45.7760335955, 2.17700112411;CREUSE
RONAI;48.8104980056, -0.135238062061;ORNE
LE VERNET STE MARGUERITE;45.6163801632, 2.94006169987;PUY DE DOME
CERFONTAINE;50.2591419146, 4.02505740703;NORD
PONT ST PIERRE;49.3427460262, 1.28756480304;EURE
MEIGNE;47.2424461374, -0.21562378954;MAINE ET LOIRE
ST PALAIS;47.2489222519, 2.41081023513;CHER
ESCAUDAIN;50.3339160351, 3.34129451552;NORD
ST MANDRIER SUR MER;43.0754322948, 5.92642315155;VAR
PREMILLIEU;45.876457149, 5.56475010385;AIN
VAUPOISSON;48.5007015249, 4.216312839;AUBE
CHEVILLARD;46.1103512578, 5.58116056005;AIN
BONSON;43.8622934824, 7.1827870979;ALPES MARITIMES
LOUVIE JUZON;43.0727682758, -0.337194181284;PYRENEES ATLANTIQUES
LA CHAPELLE BATON;46.4685249074, -0.324601053258;DEUX SEVRES
DENNEVY;46.8656403196, 4.64491140945;SAONE ET LOIRE
ARBLADE LE BAS;43.705221087, -0.17265437468;GERS
RENAUCOURT;47.6413769838, 5.76341402671;HAUTE SAONE
NEY;46.733302634, 5.88549194483;JURA
FRESNE CAUVERVILLE;49.2012892333, 0.468795413271;EURE
ST JEAN DE LA RIVIERE;49.3687683933, -1.73964743222;MANCHE
MAS DE LONDRES;43.7875830947, 3.77381385903;HERAULT
SERGY;46.2626243003, 5.98914553194;AIN
PUECHREDON;43.9436241797, 4.05543868774;GARD
ST FORGET;48.7127668824, 1.99703639595;YVELINES
ANNOT;43.9620009704, 6.66395811566;ALPES DE HAUTE PROVENCE
LE PLANQUAY;49.0943788554, 0.426951723046;EURE
JAILLANS;45.0288659081, 5.16948509567;DROME
SAUTRON;47.273226935, -1.6804726586;LOIRE ATLANTIQUE
ST GOUSSAUD;46.0310651725, 1.56127982806;CREUSE
MOLAMBOZ;46.951688723, 5.68053538603;JURA
CARCEN PONSON;43.871874652, -0.81936363917;LANDES
ST ANTOINE SUR L ISLE;45.0470360982, 0.0461113956176;GIRONDE
BRUNEMBERT;50.7149478254, 1.88770340365;PAS DE CALAIS
ABANCOURT;50.2368696873, 3.20731301738;NORD
HOUEYDETS;43.1547737607, 0.353267560435;HAUTES PYRENEES
BRAGELOGNE BEAUVOIR;47.9698706523, 4.26657498666;AUBE
BELONCHAMP;47.7735452568, 6.60867151106;HAUTE SAONE
LANDRESSE;47.2603830516, 6.48915118252;DOUBS
BOUHANS LES MONTBOZON;47.4858934785, 6.28045727501;HAUTE SAONE
VERRIERES;45.5635438011, -0.262225205266;CHARENTE
STE COLOMBE DE VILLENEUVE;44.3573026111, 0.6571276816;LOT ET GARONNE
COMIGNE;43.1656693314, 2.58551535137;AUDE
LHUITRE;48.5811831935, 4.27395119742;AUBE
CERONS;44.6273573941, -0.33978567872;GIRONDE
MIRAVAL CABARDES;43.3813815441, 2.34060793315;AUDE
PAILLART;49.6651337935, 2.3206181648;OISE
GRAMOND;44.2633838194, 2.3681220954;AVEYRON
AIGUINES;43.7284369506, 6.30439429944;VAR
CHAMBRY;49.5986366056, 3.67200832611;AISNE
AUTREVILLE SUR LA RENNE;48.1258481479, 4.97740367937;HAUTE MARNE
